Date,CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],Memory usage [GB],Memory capacity provisioned [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s],Label,Memory usage [KB],Count
12/19/2008,4,11703.99824,10434.11443,8.9478464,67108864,2.533333333,19974.93333,535.6666667,23.93333333,1,8947846.4,1
12/20/2008,4,11703.99824,10913.97836,6.3529704,67108864,4.466666667,15553.73333,0,2.066666667,1,6352970.4,1
12/21/2008,4,11703.99824,10477.02909,20.93796293,67108864,0,1.4,235.5333333,3.866666667,1,20937962.93,1
12/22/2008,4,11703.99824,6485.965691,11.05059253,67108864,2.533333333,10.73333333,719.9333333,21.46666667,1,11050592.53,1
12/23/2008,4,11703.99824,76.07598856,0,67108864,0,1.333333333,0,1,0,0,1
12/24/2008,4,11703.99824,72.17465581,0,67108864,0,1.333333333,0,1,0,0,1
12/25/2008,4,11703.99824,68.27332307,0,67108864,0,1.333333333,0,1,0,0,1
12/26/2008,4,11703.99824,68.27332307,0,67108864,0,1.333333333,0,1,0,0,1
12/27/2008,4,11703.99824,58.5199912,0,67108864,0,1.333333333,0,1,0,0,1
12/28/2008,4,11703.99824,58.5199912,0,67108864,0,1.333333333,0,1,0,0,1
12/29/2008,4,11703.99824,58.5199912,0,67108864,0,1.333333333,0,1,0,0,1
12/30/2008,4,11703.99824,64.37199032,0,67108864,0,2.066666667,0.066666667,1.066666667,0,0,1
12/31/2008,4,11703.99824,58.5199912,0,67108864,0,1.333333333,0,1,0,0,1
1/1/2009,4,11703.99824,60.47065757,0,67108864,0,1.8,0,1.066666667,0,0,1
1/2/2009,4,11703.99824,58.5199912,0,67108864,0,1.333333333,0,1,0,0,1
1/3/2009,4,11703.99824,62.42132395,0,67108864,0,1.333333333,0,1,0,0,1
1/4/2009,4,11703.99824,70.22398944,0,67108864,0,1.333333333,0,1,0,0,1
1/5/2009,4,11703.99824,60.47065757,0.1342176,67108864,0,1.333333333,0,1,0,134217.6,1
1/6/2009,4,11703.99824,70.22398944,0,67108864,0,1.333333333,0,1,0,0,1
1/7/2009,4,11703.99824,70.22398944,0,67108864,0,1.333333333,0,1,0,0,1
1/8/2009,4,11703.99824,66.32265669,0,67108864,0,1.333333333,0,1,0,0,1
1/9/2009,4,11703.99824,64.37199032,0,67108864,0,1.533333333,0,1,0,0,1
1/10/2009,4,11703.99824,118.9906488,0,67108864,131.3333333,15.26666667,0,1,1,0,1
1/11/2009,4,11703.99824,76.07598856,0,67108864,0,14.93333333,0,1,0,0,1
1/12/2009,4,11703.99824,70.22398944,0,67108864,0,1.333333333,0,1,0,0,1
1/13/2009,4,11703.99824,66.32265669,0.2684352,67108864,0,1.266666667,0,1,0,268435.2,1
1/14/2009,4,11703.99824,68.27332307,0,67108864,0,1.333333333,0,1,0,0,1
1/15/2009,4,11703.99824,81.92798768,0,67108864,0,1.333333333,0,1,0,0,1
1/16/2009,4,11703.99824,79.97732131,0,67108864,0,1.266666667,0,1,0,0,1
1/17/2009,4,11703.99824,78.02665493,0,67108864,0,1.333333333,0,1,0,0,1
1/18/2009,4,11703.99824,74.12532219,0,67108864,0,1.666666667,0,1,0,0,1
1/19/2009,4,11703.99824,64.37199032,0,67108864,0,1.333333333,0,1,0,0,1
1/20/2009,4,11703.99824,62.42132395,0,67108864,0,1.333333333,0,1,0,0,1
1/21/2009,4,11703.99824,76.07598856,0,67108864,0,2.533333333,0,1,0,0,1
1/22/2009,4,11703.99824,78.02665493,0,67108864,0,1.333333333,0,1,0,0,1
1/23/2009,4,11703.99824,70.22398944,0,67108864,0,1.533333333,0,1,0,0,1
1/24/2009,4,11703.99824,66.32265669,0,67108864,0,1.333333333,0,1,0,0,1
1/25/2009,4,11703.99824,72.17465581,0,67108864,0,1.333333333,0,1,0,0,1
1/26/2009,4,11703.99824,68.27332307,0,67108864,0,1.333333333,0,1,0,0,1
1/27/2009,4,11703.99824,70.22398944,0,67108864,0,2.333333333,0,1.066666667,0,0,1
1/28/2009,4,11703.99824,64.37199032,0,67108864,0,1.333333333,0,1,0,0,1
1/29/2009,4,11703.99824,66.32265669,0.1789568,67108864,0,1.4,0,1,0,178956.8,1
1/30/2009,4,11703.99824,66.32265669,0,67108864,0,1.333333333,0,1,0,0,1
1/31/2009,4,11703.99824,70.22398944,0,67108864,0,1.533333333,0,1,0,0,1
2/1/2009,4,11703.99824,62.42132395,0,67108864,0,1.333333333,0,1,0,0,1
2/2/2009,4,11703.99824,70.22398944,0,67108864,0,1.933333333,0,1.066666667,0,0,1
2/3/2009,4,11703.99824,62.42132395,0,67108864,0,1.333333333,0,1,0,0,1
2/4/2009,4,11703.99824,60.47065757,0,67108864,0,1.333333333,0,1,0,0,1
2/5/2009,4,11703.99824,68.27332307,0.223696,67108864,32.66666667,5.2,0,1,0,223696,1
2/6/2009,4,11703.99824,66.32265669,0,67108864,0,1.333333333,0,1,0,0,1
2/7/2009,4,11703.99824,60.47065757,0,67108864,0,1.333333333,0,1,0,0,1
2/8/2009,4,11703.99824,72.17465581,0,67108864,0,1.333333333,0,1,0,0,1
2/9/2009,4,11703.99824,62.42132395,0,67108864,0,1.333333333,0,1,0,0,1
2/10/2009,4,11703.99824,68.27332307,0,67108864,0,1.333333333,0,1,0,0,1
2/11/2009,4,11703.99824,62.42132395,0,67108864,0,1.333333333,0,1,0,0,1
2/12/2009,4,11703.99824,60.47065757,0.223696,67108864,0,1.333333333,0,1,0,223696,1
2/13/2009,4,11703.99824,62.42132395,0.4026528,67108864,0,1.333333333,0,1,0,402652.8,1
2/14/2009,4,11703.99824,68.27332307,0,67108864,0,2,0,1,0,0,1
2/15/2009,4,11703.99824,62.42132395,0,67108864,0,1.333333333,0,1,0,0,1
2/16/2009,4,11703.99824,62.42132395,0.0894784,67108864,0,1.333333333,0,1,0,89478.4,1
2/17/2009,4,11703.99824,66.32265669,0,67108864,0,2.066666667,0,1.066666667,0,0,1
